"","week","package","V1"
"1","2013-40","alm",49
"2","2013-41","alm",58
"3","2013-42","alm",52
"4","2013-43","alm",29
"5","2013-44","alm",55
"6","2013-45","alm",42
"7","2013-46","alm",41
"8","2013-47","alm",37
"9","2013-48","alm",43
"10","2013-49","alm",47
"11","2013-50","alm",31
"12","2013-51","alm",26
"13","2013-52","alm",4
"14","2014-00","alm",14
"15","2014-01","alm",84
"16","2014-02","alm",72
"17","2014-03","alm",32
"18","2014-04","alm",35
"19","2014-05","alm",50
"20","2014-06","alm",42
"21","2014-07","alm",44
"22","2014-08","alm",52
"23","2014-09","alm",51
"24","2014-10","alm",39
"25","2014-11","alm",5
"26","2014-06","AntWeb",9
"27","2014-07","AntWeb",69
"28","2014-08","AntWeb",65
"29","2014-09","AntWeb",68
"30","2014-10","AntWeb",64
"31","2014-11","AntWeb",10
"32","2012-40",NA,1
"33","2012-41",NA,3
"34","2012-42",NA,5
"35","2012-43",NA,1
"36","2012-44",NA,6
"37","2012-45",NA,14
"38","2012-46",NA,15
"39","2012-47",NA,13
"40","2012-48",NA,15
"41","2012-49",NA,25
"42","2012-50",NA,11
"43","2012-51",NA,22
"44","2012-52",NA,9
"45","2013-00",NA,14
"46","2013-01",NA,27
"47","2013-02",NA,23
"48","2013-03",NA,18
"49","2013-04",NA,28
"50","2013-05",NA,7
"51","2013-06",NA,25
"52","2013-07",NA,10
"53","2013-08",NA,18
"54","2013-09",NA,13
"55","2013-10",NA,21
"56","2013-11",NA,8
"57","2013-12",NA,19
"58","2013-13",NA,28
"59","2013-14",NA,18
"60","2013-15",NA,17
"61","2013-16",NA,16
"62","2013-17",NA,12
"63","2013-18",NA,18
"64","2013-19",NA,19
"65","2013-20",NA,17
"66","2013-21",NA,15
"67","2013-22",NA,21
"68","2013-23",NA,19
"69","2013-24",NA,14
"70","2013-25",NA,19
"71","2013-26",NA,25
"72","2013-27",NA,42
"73","2013-28",NA,35
"74","2013-29",NA,30
"75","2013-30",NA,41
"76","2013-31",NA,31
"77","2013-32",NA,50
"78","2013-33",NA,30
"79","2013-34",NA,52
"80","2013-35",NA,76
"81","2013-36",NA,62
"82","2013-37",NA,53
"83","2013-38",NA,55
"84","2013-39",NA,49
"85","2013-40",NA,46
"86","2013-41",NA,60
"87","2013-42",NA,36
"88","2013-43",NA,42
"89","2013-44",NA,37
"90","2013-45",NA,26
"91","2013-46",NA,28
"92","2013-47",NA,26
"93","2013-48",NA,28
"94","2013-49",NA,50
"95","2013-50",NA,31
"96","2013-51",NA,27
"97","2013-52",NA,5
"98","2014-00",NA,16
"99","2014-01",NA,53
"100","2014-02",NA,63
"101","2014-03",NA,60
"102","2014-04",NA,65
"103","2014-05",NA,55
"104","2014-06",NA,44
"105","2014-07",NA,76
"106","2014-08",NA,28
"107","2014-09",NA,41
"108","2014-10",NA,49
"109","2014-11",NA,9
"110","2013-04","dvn",5
"111","2013-05","dvn",18
"112","2013-06","dvn",24
"113","2013-07","dvn",17
"114","2013-08","dvn",21
"115","2013-09","dvn",26
"116","2013-10","dvn",30
"117","2013-11","dvn",23
"118","2013-12","dvn",9
"119","2013-13","dvn",41
"120","2013-14","dvn",23
"121","2013-15","dvn",34
"122","2013-16","dvn",32
"123","2013-17","dvn",13
"124","2013-18","dvn",20
"125","2013-19","dvn",17
"126","2013-20","dvn",26
"127","2013-21","dvn",36
"128","2013-22","dvn",32
"129","2013-23","dvn",19
"130","2013-24","dvn",21
"131","2013-25","dvn",20
"132","2013-26","dvn",39
"133","2013-27","dvn",33
"134","2013-28","dvn",38
"135","2013-29","dvn",36
"136","2013-30","dvn",23
"137","2013-31","dvn",22
"138","2013-32","dvn",45
"139","2013-33","dvn",14
"140","2013-34","dvn",36
"141","2013-35","dvn",28
"142","2013-36","dvn",36
"143","2013-37","dvn",41
"144","2013-38","dvn",42
"145","2013-39","dvn",33
"146","2013-40","dvn",47
"147","2013-41","dvn",82
"148","2013-42","dvn",66
"149","2013-43","dvn",43
"150","2013-44","dvn",58
"151","2013-45","dvn",48
"152","2013-46","dvn",35
"153","2013-47","dvn",28
"154","2013-48","dvn",72
"155","2013-49","dvn",57
"156","2013-50","dvn",42
"157","2013-51","dvn",24
"158","2013-52","dvn",4
"159","2014-00","dvn",14
"160","2014-01","dvn",83
"161","2014-02","dvn",68
"162","2014-03","dvn",29
"163","2014-04","dvn",29
"164","2014-05","dvn",43
"165","2014-06","dvn",33
"166","2014-07","dvn",54
"167","2014-08","dvn",44
"168","2014-09","dvn",48
"169","2014-10","dvn",39
"170","2014-11","dvn",6
"171","2014-02","ecoengine",5
"172","2014-03","ecoengine",34
"173","2014-04","ecoengine",41
"174","2014-05","ecoengine",48
"175","2014-06","ecoengine",36
"176","2014-07","ecoengine",48
"177","2014-08","ecoengine",44
"178","2014-09","ecoengine",69
"179","2014-10","ecoengine",63
"180","2014-11","ecoengine",11
"181","2012-42","geonames",2
"182","2012-44","geonames",11
"183","2012-45","geonames",10
"184","2012-46","geonames",15
"185","2012-47","geonames",22
"186","2012-48","geonames",22
"187","2012-49","geonames",20
"188","2012-50","geonames",27
"189","2012-51","geonames",19
"190","2012-52","geonames",8
"191","2013-00","geonames",16
"192","2013-01","geonames",36
"193","2013-02","geonames",36
"194","2013-03","geonames",32
"195","2013-04","geonames",32
"196","2013-05","geonames",32
"197","2013-06","geonames",42
"198","2013-07","geonames",39
"199","2013-08","geonames",36
"200","2013-09","geonames",44
"201","2013-10","geonames",73
"202","2013-11","geonames",36
"203","2013-12","geonames",15
"204","2013-13","geonames",55
"205","2013-14","geonames",52
"206","2013-15","geonames",47
"207","2013-16","geonames",51
"208","2013-17","geonames",27
"209","2013-18","geonames",31
"210","2013-19","geonames",32
"211","2013-20","geonames",48
"212","2013-21","geonames",54
"213","2013-22","geonames",52
"214","2013-23","geonames",50
"215","2013-24","geonames",38
"216","2013-25","geonames",46
"217","2013-26","geonames",34
"218","2013-27","geonames",34
"219","2013-28","geonames",45
"220","2013-29","geonames",48
"221","2013-30","geonames",32
"222","2013-31","geonames",59
"223","2013-32","geonames",83
"224","2013-33","geonames",34
"225","2013-34","geonames",43
"226","2013-35","geonames",52
"227","2013-36","geonames",66
"228","2013-37","geonames",63
"229","2013-38","geonames",69
"230","2013-39","geonames",65
"231","2013-40","geonames",61
"232","2013-41","geonames",66
"233","2013-42","geonames",59
"234","2013-43","geonames",64
"235","2013-44","geonames",55
"236","2013-45","geonames",54
"237","2013-46","geonames",55
"238","2013-47","geonames",55
"239","2013-48","geonames",63
"240","2013-49","geonames",66
"241","2013-50","geonames",51
"242","2013-51","geonames",35
"243","2013-52","geonames",8
"244","2014-00","geonames",12
"245","2014-01","geonames",108
"246","2014-02","geonames",94
"247","2014-03","geonames",62
"248","2014-04","geonames",68
"249","2014-05","geonames",74
"250","2014-06","geonames",64
"251","2014-07","geonames",76
"252","2014-08","geonames",67
"253","2014-09","geonames",68
"254","2014-10","geonames",59
"255","2014-11","geonames",7
"256","2012-45","rAltmetric",1
"257","2012-46","rAltmetric",10
"258","2012-47","rAltmetric",12
"259","2012-48","rAltmetric",15
"260","2012-49","rAltmetric",11
"261","2012-50","rAltmetric",16
"262","2012-51","rAltmetric",8
"263","2012-52","rAltmetric",6
"264","2013-00","rAltmetric",9
"265","2013-01","rAltmetric",17
"266","2013-02","rAltmetric",14
"267","2013-03","rAltmetric",19
"268","2013-04","rAltmetric",19
"269","2013-05","rAltmetric",13
"270","2013-06","rAltmetric",24
"271","2013-07","rAltmetric",15
"272","2013-08","rAltmetric",19
"273","2013-09","rAltmetric",23
"274","2013-10","rAltmetric",26
"275","2013-11","rAltmetric",18
"276","2013-12","rAltmetric",7
"277","2013-13","rAltmetric",34
"278","2013-14","rAltmetric",20
"279","2013-15","rAltmetric",30
"280","2013-16","rAltmetric",24
"281","2013-17","rAltmetric",16
"282","2013-18","rAltmetric",16
"283","2013-19","rAltmetric",15
"284","2013-20","rAltmetric",27
"285","2013-21","rAltmetric",27
"286","2013-22","rAltmetric",27
"287","2013-23","rAltmetric",16
"288","2013-24","rAltmetric",18
"289","2013-25","rAltmetric",24
"290","2013-26","rAltmetric",14
"291","2013-27","rAltmetric",23
"292","2013-28","rAltmetric",19
"293","2013-29","rAltmetric",37
"294","2013-30","rAltmetric",20
"295","2013-31","rAltmetric",22
"296","2013-32","rAltmetric",40
"297","2013-33","rAltmetric",16
"298","2013-34","rAltmetric",26
"299","2013-35","rAltmetric",24
"300","2013-36","rAltmetric",31
"301","2013-37","rAltmetric",33
"302","2013-38","rAltmetric",32
"303","2013-39","rAltmetric",27
"304","2013-40","rAltmetric",36
"305","2013-41","rAltmetric",37
"306","2013-42","rAltmetric",40
"307","2013-43","rAltmetric",24
"308","2013-44","rAltmetric",39
"309","2013-45","rAltmetric",27
"310","2013-46","rAltmetric",24
"311","2013-47","rAltmetric",23
"312","2013-48","rAltmetric",31
"313","2013-49","rAltmetric",39
"314","2013-50","rAltmetric",21
"315","2013-51","rAltmetric",21
"316","2013-52","rAltmetric",2
"317","2014-00","rAltmetric",9
"318","2014-01","rAltmetric",73
"319","2014-02","rAltmetric",59
"320","2014-03","rAltmetric",23
"321","2014-04","rAltmetric",21
"322","2014-05","rAltmetric",38
"323","2014-06","rAltmetric",30
"324","2014-07","rAltmetric",32
"325","2014-08","rAltmetric",27
"326","2014-09","rAltmetric",43
"327","2014-10","rAltmetric",33
"328","2014-11","rAltmetric",6
"329","2014-02","rAvis",4
"330","2014-03","rAvis",29
"331","2014-04","rAvis",26
"332","2014-05","rAvis",36
"333","2014-06","rAvis",30
"334","2014-07","rAvis",33
"335","2014-08","rAvis",34
"336","2014-09","rAvis",46
"337","2014-10","rAvis",43
"338","2014-11","rAvis",5
"339","2013-03","rbefdata",3
"340","2013-04","rbefdata",20
"341","2013-05","rbefdata",15
"342","2013-06","rbefdata",25
"343","2013-07","rbefdata",20
"344","2013-08","rbefdata",22
"345","2013-09","rbefdata",25
"346","2013-10","rbefdata",24
"347","2013-11","rbefdata",18
"348","2013-12","rbefdata",8
"349","2013-13","rbefdata",33
"350","2013-14","rbefdata",20
"351","2013-15","rbefdata",34
"352","2013-16","rbefdata",36
"353","2013-17","rbefdata",22
"354","2013-18","rbefdata",17
"355","2013-19","rbefdata",17
"356","2013-20","rbefdata",25
"357","2013-21","rbefdata",24
"358","2013-22","rbefdata",31
"359","2013-23","rbefdata",39
"360","2013-24","rbefdata",38
"361","2013-25","rbefdata",40
"362","2013-26","rbefdata",20
"363","2013-27","rbefdata",27
"364","2013-28","rbefdata",25
"365","2013-29","rbefdata",35
"366","2013-30","rbefdata",26
"367","2013-31","rbefdata",20
"368","2013-32","rbefdata",47
"369","2013-33","rbefdata",18
"370","2013-34","rbefdata",49
"371","2013-35","rbefdata",42
"372","2013-36","rbefdata",35
"373","2013-37","rbefdata",40
"374","2013-38","rbefdata",37
"375","2013-39","rbefdata",36
"376","2013-40","rbefdata",43
"377","2013-41","rbefdata",42
"378","2013-42","rbefdata",44
"379","2013-43","rbefdata",30
"380","2013-44","rbefdata",41
"381","2013-45","rbefdata",32
"382","2013-46","rbefdata",55
"383","2013-47","rbefdata",40
"384","2013-48","rbefdata",41
"385","2013-49","rbefdata",42
"386","2013-50","rbefdata",28
"387","2013-51","rbefdata",19
"388","2013-52","rbefdata",4
"389","2014-00","rbefdata",7
"390","2014-01","rbefdata",77
"391","2014-02","rbefdata",63
"392","2014-03","rbefdata",23
"393","2014-04","rbefdata",23
"394","2014-05","rbefdata",31
"395","2014-06","rbefdata",29
"396","2014-07","rbefdata",39
"397","2014-08","rbefdata",27
"398","2014-09","rbefdata",43
"399","2014-10","rbefdata",33
"400","2014-11","rbefdata",6
"401","2014-02","rbhl",3
"402","2014-03","rbhl",26
"403","2014-04","rbhl",22
"404","2014-05","rbhl",32
"405","2014-06","rbhl",27
"406","2014-07","rbhl",27
"407","2014-08","rbhl",24
"408","2014-09","rbhl",44
"409","2014-10","rbhl",32
"410","2014-11","rbhl",6
"411","2013-48","rbison",22
"412","2013-49","rbison",39
"413","2013-50","rbison",28
"414","2013-51","rbison",18
"415","2013-52","rbison",3
"416","2014-00","rbison",8
"417","2014-01","rbison",70
"418","2014-02","rbison",57
"419","2014-03","rbison",22
"420","2014-04","rbison",23
"421","2014-05","rbison",46
"422","2014-06","rbison",44
"423","2014-07","rbison",66
"424","2014-08","rbison",51
"425","2014-09","rbison",61
"426","2014-10","rbison",55
"427","2014-11","rbison",9
"428","2012-40","rdryad",1
"429","2012-41","rdryad",1
"430","2012-42","rdryad",2
"431","2012-44","rdryad",10
"432","2012-45","rdryad",3
"433","2012-46","rdryad",8
"434","2012-47","rdryad",12
"435","2012-48","rdryad",15
"436","2012-49","rdryad",12
"437","2012-50","rdryad",18
"438","2012-51","rdryad",9
"439","2012-52","rdryad",5
"440","2013-00","rdryad",10
"441","2013-01","rdryad",15
"442","2013-02","rdryad",15
"443","2013-03","rdryad",17
"444","2013-04","rdryad",26
"445","2013-05","rdryad",20
"446","2013-06","rdryad",27
"447","2013-07","rdryad",21
"448","2013-08","rdryad",20
"449","2013-09","rdryad",27
"450","2013-10","rdryad",26
"451","2013-11","rdryad",21
"452","2013-12","rdryad",14
"453","2013-13","rdryad",33
"454","2013-14","rdryad",22
"455","2013-15","rdryad",29
"456","2013-16","rdryad",23
"457","2013-17","rdryad",16
"458","2013-18","rdryad",16
"459","2013-19","rdryad",17
"460","2013-20","rdryad",29
"461","2013-21","rdryad",28
"462","2013-22","rdryad",28
"463","2013-23","rdryad",17
"464","2013-24","rdryad",19
"465","2013-25","rdryad",34
"466","2013-26","rdryad",14
"467","2013-27","rdryad",19
"468","2013-28","rdryad",19
"469","2013-29","rdryad",28
"470","2013-30","rdryad",18
"471","2013-31","rdryad",22
"472","2013-32","rdryad",41
"473","2013-33","rdryad",13
"474","2013-34","rdryad",25
"475","2013-35","rdryad",28
"476","2013-36","rdryad",31
"477","2013-37","rdryad",37
"478","2013-38","rdryad",33
"479","2013-39","rdryad",29
"480","2013-40","rdryad",37
"481","2013-41","rdryad",36
"482","2013-42","rdryad",38
"483","2013-43","rdryad",27
"484","2013-44","rdryad",39
"485","2013-45","rdryad",26
"486","2013-46","rdryad",29
"487","2013-47","rdryad",20
"488","2013-48","rdryad",28
"489","2013-49","rdryad",35
"490","2013-50","rdryad",21
"491","2013-51","rdryad",18
"492","2013-52","rdryad",2
"493","2014-00","rdryad",8
"494","2014-01","rdryad",69
"495","2014-02","rdryad",58
"496","2014-03","rdryad",18
"497","2014-04","rdryad",23
"498","2014-05","rdryad",31
"499","2014-06","rdryad",25
"500","2014-07","rdryad",28
"501","2014-08","rdryad",27
"502","2014-09","rdryad",39
"503","2014-10","rdryad",29
"504","2014-11","rdryad",6
"505","2012-42","rebird",2
"506","2012-44","rebird",10
"507","2012-45","rebird",4
"508","2012-46","rebird",9
"509","2012-47","rebird",12
"510","2012-48","rebird",15
"511","2012-49","rebird",11
"512","2012-50","rebird",16
"513","2012-51","rebird",7
"514","2012-52","rebird",5
"515","2013-00","rebird",9
"516","2013-01","rebird",16
"517","2013-02","rebird",14
"518","2013-03","rebird",17
"519","2013-04","rebird",18
"520","2013-05","rebird",13
"521","2013-06","rebird",24
"522","2013-07","rebird",18
"523","2013-08","rebird",20
"524","2013-09","rebird",21
"525","2013-10","rebird",25
"526","2013-11","rebird",18
"527","2013-12","rebird",7
"528","2013-13","rebird",32
"529","2013-14","rebird",20
"530","2013-15","rebird",29
"531","2013-16","rebird",22
"532","2013-17","rebird",16
"533","2013-18","rebird",16
"534","2013-19","rebird",16
"535","2013-20","rebird",26
"536","2013-21","rebird",25
"537","2013-22","rebird",26
"538","2013-23","rebird",18
"539","2013-24","rebird",18
"540","2013-25","rebird",21
"541","2013-26","rebird",15
"542","2013-27","rebird",19
"543","2013-28","rebird",21
"544","2013-29","rebird",27
"545","2013-30","rebird",19
"546","2013-31","rebird",19
"547","2013-32","rebird",40
"548","2013-33","rebird",12
"549","2013-34","rebird",23
"550","2013-35","rebird",27
"551","2013-36","rebird",30
"552","2013-37","rebird",34
"553","2013-38","rebird",31
"554","2013-39","rebird",39
"555","2013-40","rebird",34
"556","2013-41","rebird",31
"557","2013-42","rebird",32
"558","2013-43","rebird",21
"559","2013-44","rebird",35
"560","2013-45","rebird",29
"561","2013-46","rebird",27
"562","2013-47","rebird",25
"563","2013-48","rebird",35
"564","2013-49","rebird",37
"565","2013-50","rebird",22
"566","2013-51","rebird",21
"567","2013-52","rebird",2
"568","2014-00","rebird",8
"569","2014-01","rebird",76
"570","2014-02","rebird",68
"571","2014-03","rebird",22
"572","2014-04","rebird",23
"573","2014-05","rebird",43
"574","2014-06","rebird",35
"575","2014-07","rebird",44
"576","2014-08","rebird",34
"577","2014-09","rebird",87
"578","2014-10","rebird",83
"579","2014-11","rebird",14
"580","2012-42","rentrez",2
"581","2012-44","rentrez",9
"582","2012-45","rentrez",4
"583","2012-46","rentrez",10
"584","2012-47","rentrez",12
"585","2012-48","rentrez",15
"586","2012-49","rentrez",11
"587","2012-50","rentrez",20
"588","2012-51","rentrez",7
"589","2012-52","rentrez",5
"590","2013-00","rentrez",9
"591","2013-01","rentrez",17
"592","2013-02","rentrez",14
"593","2013-03","rentrez",17
"594","2013-04","rentrez",20
"595","2013-05","rentrez",14
"596","2013-06","rentrez",24
"597","2013-07","rentrez",17
"598","2013-08","rentrez",21
"599","2013-09","rentrez",24
"600","2013-10","rentrez",29
"601","2013-11","rentrez",18
"602","2013-12","rentrez",7
"603","2013-13","rentrez",32
"604","2013-14","rentrez",24
"605","2013-15","rentrez",28
"606","2013-16","rentrez",22
"607","2013-17","rentrez",18
"608","2013-18","rentrez",14
"609","2013-19","rentrez",17
"610","2013-20","rentrez",28
"611","2013-21","rentrez",33
"612","2013-22","rentrez",26
"613","2013-23","rentrez",20
"614","2013-24","rentrez",17
"615","2013-25","rentrez",25
"616","2013-26","rentrez",16
"617","2013-27","rentrez",21
"618","2013-28","rentrez",24
"619","2013-29","rentrez",28
"620","2013-30","rentrez",19
"621","2013-31","rentrez",21
"622","2013-32","rentrez",42
"623","2013-33","rentrez",12
"624","2013-34","rentrez",24
"625","2013-35","rentrez",26
"626","2013-36","rentrez",31
"627","2013-37","rentrez",35
"628","2013-38","rentrez",36
"629","2013-39","rentrez",30
"630","2013-40","rentrez",38
"631","2013-41","rentrez",36
"632","2013-42","rentrez",41
"633","2013-43","rentrez",29
"634","2013-44","rentrez",47
"635","2013-45","rentrez",32
"636","2013-46","rentrez",26
"637","2013-47","rentrez",29
"638","2013-48","rentrez",30
"639","2013-49","rentrez",38
"640","2013-50","rentrez",25
"641","2013-51","rentrez",21
"642","2013-52","rentrez",2
"643","2014-00","rentrez",8
"644","2014-01","rentrez",74
"645","2014-02","rentrez",60
"646","2014-03","rentrez",22
"647","2014-04","rentrez",21
"648","2014-05","rentrez",39
"649","2014-06","rentrez",33
"650","2014-07","rentrez",34
"651","2014-08","rentrez",30
"652","2014-09","rentrez",90
"653","2014-10","rentrez",76
"654","2014-11","rentrez",10
"655","2012-45","rfigshare",3
"656","2012-46","rfigshare",9
"657","2012-47","rfigshare",12
"658","2012-48","rfigshare",14
"659","2012-49","rfigshare",8
"660","2012-50","rfigshare",16
"661","2012-51","rfigshare",6
"662","2012-52","rfigshare",5
"663","2013-00","rfigshare",9
"664","2013-01","rfigshare",17
"665","2013-02","rfigshare",14
"666","2013-03","rfigshare",16
"667","2013-04","rfigshare",36
"668","2013-05","rfigshare",21
"669","2013-06","rfigshare",24
"670","2013-07","rfigshare",30
"671","2013-08","rfigshare",20
"672","2013-09","rfigshare",28
"673","2013-10","rfigshare",32
"674","2013-11","rfigshare",17
"675","2013-12","rfigshare",10
"676","2013-13","rfigshare",34
"677","2013-14","rfigshare",20
"678","2013-15","rfigshare",28
"679","2013-16","rfigshare",21
"680","2013-17","rfigshare",16
"681","2013-18","rfigshare",16
"682","2013-19","rfigshare",15
"683","2013-20","rfigshare",26
"684","2013-21","rfigshare",29
"685","2013-22","rfigshare",25
"686","2013-23","rfigshare",19
"687","2013-24","rfigshare",16
"688","2013-25","rfigshare",23
"689","2013-26","rfigshare",15
"690","2013-27","rfigshare",22
"691","2013-28","rfigshare",19
"692","2013-29","rfigshare",33
"693","2013-30","rfigshare",21
"694","2013-31","rfigshare",19
"695","2013-32","rfigshare",42
"696","2013-33","rfigshare",12
"697","2013-34","rfigshare",24
"698","2013-35","rfigshare",28
"699","2013-36","rfigshare",29
"700","2013-37","rfigshare",32
"701","2013-38","rfigshare",35
"702","2013-39","rfigshare",29
"703","2013-40","rfigshare",36
"704","2013-41","rfigshare",36
"705","2013-42","rfigshare",43
"706","2013-43","rfigshare",31
"707","2013-44","rfigshare",48
"708","2013-45","rfigshare",32
"709","2013-46","rfigshare",24
"710","2013-47","rfigshare",25
"711","2013-48","rfigshare",31
"712","2013-49","rfigshare",35
"713","2013-50","rfigshare",22
"714","2013-51","rfigshare",21
"715","2013-52","rfigshare",3
"716","2014-00","rfigshare",8
"717","2014-01","rfigshare",74
"718","2014-02","rfigshare",67
"719","2014-03","rfigshare",34
"720","2014-04","rfigshare",38
"721","2014-05","rfigshare",36
"722","2014-06","rfigshare",34
"723","2014-07","rfigshare",36
"724","2014-08","rfigshare",26
"725","2014-09","rfigshare",37
"726","2014-10","rfigshare",30
"727","2014-11","rfigshare",6
"728","2012-41","rfishbase",1
"729","2012-42","rfishbase",2
"730","2012-44","rfishbase",9
"731","2012-45","rfishbase",4
"732","2012-46","rfishbase",13
"733","2012-47","rfishbase",12
"734","2012-48","rfishbase",15
"735","2012-49","rfishbase",10
"736","2012-50","rfishbase",16
"737","2012-51","rfishbase",10
"738","2012-52","rfishbase",5
"739","2013-00","rfishbase",10
"740","2013-01","rfishbase",18
"741","2013-02","rfishbase",14
"742","2013-03","rfishbase",19
"743","2013-04","rfishbase",21
"744","2013-05","rfishbase",13
"745","2013-06","rfishbase",28
"746","2013-07","rfishbase",35
"747","2013-08","rfishbase",27
"748","2013-09","rfishbase",32
"749","2013-10","rfishbase",51
"750","2013-11","rfishbase",29
"751","2013-12","rfishbase",18
"752","2013-13","rfishbase",37
"753","2013-14","rfishbase",27
"754","2013-15","rfishbase",28
"755","2013-16","rfishbase",25
"756","2013-17","rfishbase",18
"757","2013-18","rfishbase",15
"758","2013-19","rfishbase",16
"759","2013-20","rfishbase",31
"760","2013-21","rfishbase",35
"761","2013-22","rfishbase",30
"762","2013-23","rfishbase",18
"763","2013-24","rfishbase",17
"764","2013-25","rfishbase",26
"765","2013-26","rfishbase",15
"766","2013-27","rfishbase",21
"767","2013-28","rfishbase",21
"768","2013-29","rfishbase",34
"769","2013-30","rfishbase",27
"770","2013-31","rfishbase",37
"771","2013-32","rfishbase",61
"772","2013-33","rfishbase",12
"773","2013-34","rfishbase",23
"774","2013-35","rfishbase",26
